partner_id,industry_gic2_code,partner_class_code,partner_gender,partner_name,partner_phone_number,partner_birth_year,partner_address,partner_open_date,partner_close_date
6ce89bb5-c305-4686-9677-5f0f36080d73,Individual,I,M,Olivier Bühler,+41 43 819 77 56,1969-06-12,"Schmidstrasse 373
1188 La Chaux-de-Fonds",2012-02-13,
a963f2c0-eae7-47f4-ac6a-a12ee906589e,Individual,I,,Elsbeth Zürcher,071 712 38 13,1984-08-30,"Suterstrasse 8
1966 Zug",2018-05-15,
479be8f1-8054-4346-af37-b51b00dcbfd5,Individual,S,,,,,,2020-09-27,
e13d7424-5417-45e1-8ae0-b24230173ec9,Individual,I,,Sara Schlatter,022 423 50 32,1953-12-18,"Leustrasse 11
6802 Amriswil",2017-02-10,
b74190f3-fd26-4379-b767-9c29e3b9091d,Individual,I,,Madeleine Christen,022 837 73 73,1996-04-07,"Betschartstrasse 65
2416 Naters",2013-11-04,
dd72877e-3f85-4e1f-9d29-48b42e98b57b,Individual,I,F,Nadine Kunz,043 609 12 08,1984-08-21,"Lüthistrasse 995
4691 Schlieren",2021-06-04,
bcb9386a-40e9-40d3-9780-da40bf2161d5,Individual,I,M,Rui Herzog,+41 33 482 36 29,2000-02-05,"Schweizerstrasse 703
1026 Arth",2018-05-20,
a01e19c1-9d83-45ab-8b6a-0195ebe9ee0f,Individual,S,,,,,,2017-07-04,
ea0cfead-9913-4381-8033-a5ca515fbc12,Individual,I,,Adeline Sidler,027 775 60 83,1987-11-10,"Sutterstrasse 44
8458 Gland",2019-02-03,
077bb178-c5b3-46ea-ad5a-b40e98b7db6a,Individual,I,F,Silja Hoffmann,+41 55 296 48 42,1950-11-25,"Hafnerstrasse 68
7442 Allschwil",2012-12-19,
bcaa60c7-ff8c-4486-a740-d042f2a58001,Individual,I,M,Shaban Hofer,+41 52 969 29 61,1974-08-08,"Mayerstrasse 4
4829 Onex",2012-08-31,
f424ca6d-5a11-47e2-ac79-a229d153b882,Individual,I,F,Mirjana Eugster,071 086 51 46,1985-04-11,"Hessstrasse 180
7450 Gossau",2013-05-10,
ba0c32e5-4f4d-498f-9bd7-0fa28eaa13d3,Individual,I,F,Paulina Tanner,033 056 11 81,1998-09-20,"Stöcklistrasse 42
1815 Muri",2018-02-12,
3d5cddd7-3465-49df-a3fe-b47441eb74c0,Individual,S,,,,,,2020-07-03,
581b9f14-f5f8-4a3c-9c4e-5c6ed6e009d2,Individual,I,M,Leano Ziegler,022 440 09 64,1953-02-11,"Suterstrasse 15
7168 Naters",2019-06-06,
6b48a19f-4965-4569-9480-44aa79a65383,Individual,I,F,Aylin Braun,+41 22 517 11 09,1999-02-25,"Seilerstrasse 57
1591 Ostermundigen",2020-10-09,
ab6bc675-0342-4624-be25-da767d0036ad,Individual,I,F,Anouk Felber,055 124 42 33,1962-03-31,"Braunstrasse 5
1731 Zofingen",2022-01-27,
57c7a5d8-02b3-447c-b763-e90fcf09809b,Individual,I,M,Gerd Bader,043 120 23 27,1958-12-18,"Reystrasse 540
5444 Adliswil",2015-07-17,
86db8a79-5a44-4b36-88f2-0ae718f07cb0,Individual,I,F,Josefa Hofmann,+41 32 091 43 46,1977-10-21,"Bühlerstrasse 407
3698 Maur",2022-05-10,
98e9579f-fa5a-4e96-a750-4e33926eec1e,Individual,I,M,Gabriel Blondel,+33 (0)7 67 33 06 19,1964-09-06,"6, rue Émile Coulon
60509 Daniel-sur-Marty",2011-03-15,
c2c7ad10-e567-45c0-b396-d0a3f64ceddd,Individual,I,F,Judith Hofstetter,031 682 14 63,1962-09-11,"Lustenbergerstrasse 92
7413 Lancy",2010-06-14,
4e446c94-a649-45ee-84cf-1fdb662dcda8,Individual,S,,,,,,2011-06-08,
c94dbf25-ddc7-4dd1-9350-679161a64475,"Accounting, bookkeeping activities",B,M,Blum Friedli GmbH,+41 61 050 90 83,1961-07-10,"Hoferstrasse 419
1905 Küssnacht",2016-12-04,
3c820f50-61b2-47c3-a478-5a4507dc91e3,Individual,I,F,Vivian Meister,081 756 55 58,1962-03-27,"Scherrerstrasse 98
2018 Val-de-Ruz",2022-08-18,
9b7bfb0b-466a-4631-922b-da951f8a53d5,Individual,I,F,Romaine Martin,021 487 04 91,1956-06-04,"Furrerstrasse 2
2204 Biel/Bienne",2021-06-09,
df360570-3176-4030-8528-0dded5f6948d,Individual,I,,Eleni Kern,061 833 67 61,1988-04-15,"Kesslerstrasse 61
2393 Wallisellen",2021-07-16,
ae474aaa-148c-4404-b10e-b9a542a91ffb,Individual,I,M,Massimo Müller,+41 91 946 53 41,1985-10-07,"Sutterstrasse 91
8076 Risch",2013-08-19,
1533b65c-264b-43a5-8b46-fa4431ebb230,Individual,I,M,Endrit Steffen,071 856 97 95,1972-06-13,"Bolligerstrasse 275
1649 Hinwil",2018-12-31,
8867d5ad-d2c1-4bfe-a69c-95c2a21f4129,Individual,I,F,Marlies Herzog,+41 55 895 65 29,1960-03-20,"Hoffmannstrasse 855
6397 Muri",2010-01-28,
820c4b98-d82e-4217-9b0d-3d43a14974fe,Individual,I,,Jane Schwab,+41 56 151 77 39,1976-09-26,"Sutterstrasse 827
3095 Baden",2015-07-18,
7c58ab98-7381-471c-990f-58b4d18ec92a,Individual,I,F,Ela Siegrist,+41 33 983 96 13,1969-12-29,"Bosshardstrasse 27
3084 Aarau",2022-07-30,
337267b7-84a4-4550-9856-9be6c8a67b4a,Individual,I,F,Anneliese Blaser,+41 44 704 07 18,1996-02-13,"Baumannstrasse 977
9382 Winterthur",2010-07-13,
f63eddc9-8a5a-4c13-a9fa-86cc20ac68b4,Individual,I,M,Jeton Kessler,091 534 49 77,1994-08-12,"Müllerstrasse 94
1927 Genf",2011-08-15,
481b85a3-bc90-4c9d-80e3-819e072b73c0,Individual,I,F,Cinzia Müller,+41 22 174 92 05,1956-04-21,"Stutzstrasse 51
2557 Nyon",2016-10-25,
a88eb745-7c19-4a42-9b19-ef3be20efdf3,Individual,I,M,Federico Leu,044 420 15 30,2002-01-25,"Stuckistrasse 5
2062 Schlieren",2015-02-01,
e6caee22-6e0f-4333-99d0-130c08202efc,Individual,I,M,Rodolfo Lang,+41 43 703 95 42,1976-02-17,"Roosstrasse 40
1578 Delsberg",2010-04-23,
73793414-f437-4f48-b190-ad2ecbc85057,Individual,I,F,Mandy Schär,+41 43 999 29 74,1965-01-15,"Zbindenstrasse 79
1902 Veyrier",2014-10-04,
6d07f064-344e-4366-bb77-0afe9515b7b6,Individual,I,F,Norma Sigrist,+41 91 167 93 65,1973-02-27,"Steinerstrasse 89
6859 Brugg",2020-01-17,
055a5e67-96a5-42a5-88ce-1e2aa960e388,Individual,I,F,Zora Vogel,022 642 47 36,1963-12-11,"Blaserstrasse 95
7339 Solothurn",2013-10-26,
8044c7de-d5d7-4843-8eff-8ac7642e9926,Individual,I,F,Marilyn Benjamin,739.680.5152x09864,1971-12-22,"269 Jennifer Island
Josephmouth, AR 83048",2019-09-30,
6cf6a340-9042-40f5-a88c-f773df3ba3b7,Individual,I,M,Thomas Chandler,(277)434-2000x074,1987-10-31,"24142 Jenkins Club
North Grantfort, VA 24171",2016-02-15,
f45174b8-d93c-462d-8266-10261765780e,Individual,I,,Sibylle Ritter,071 866 03 84,1976-10-10,"Steigerstrasse 87
8340 Onex",2020-08-19,
4da02b71-9bf2-4bd0-84f4-e9dc660cddd6,Individual,I,F,Cäcilia Schneider,027 707 51 95,1962-05-14,"Bühlmannstrasse 682
6684 Freiburg",2018-11-26,
1dd92aad-9ade-436e-91f3-ced3db1f358d,Individual,I,F,Teodora Hürlimann,052 400 35 39,1967-08-31,"Bättigstrasse 9
1737 Wallisellen",2020-10-07,
cabb2ffd-dc15-4d54-84ae-f9a538dcf386,Individual,I,M,Alan Tobler,031 508 07 14,1989-10-13,"Wüthrichstrasse 19
2591 Delsberg",2018-04-03,
a2f209f2-df03-48d5-b073-eb0b1eb55b1a,Individual,I,F,Angela Blum,+41 91 292 01 10,1981-09-30,"Wegmannstrasse 7
7620 Zug",2010-05-13,
a5aa08db-ae75-450d-809e-9f2f2b9044de,"Creative, arts & entertainment act.",B,,Favre Widmer & Co.,034 278 75 38,1968-06-24,"Schnyderstrasse 82
9001 Renens",2022-10-10,
bb39253a-acbb-4467-ac6b-354880a75c8c,Individual,I,F,Anastasie Pereira,03 67 09 41 90,1969-03-07,"93, avenue Diaz
97128 Saint Monique",2021-07-22,
0d63d178-da86-4824-aa7d-5a76f9250f21,Individual,I,F,Linda Gloor,+41 55 217 27 70,2001-04-11,"Meilistrasse 71
1554 Glarus",2019-09-10,
de3dc825-1a3f-4f50-8153-fcdf3c3120bb,Individual,I,F,Michaela Wagner,091 840 28 60,2000-04-03,"Schmidstrasse 350
7648 Belp",2018-03-08,
b1895893-efe3-4f62-a7bf-fdf4bb856f57,Individual,I,M,Hans Dieter Fröhlich,+49(0)7249 28368,1985-04-07,"Doreen-Stey-Allee 6/7
98091 Döbeln",2019-01-07,
cc223575-2c29-4370-b481-76a842833255,Individual,I,F,Livia Roth,+41 91 007 44 13,1983-07-23,"Spörristrasse 42
9861 Renens",2010-11-08,
2bbcb850-ad19-47f9-9898-11b67cef6435,Individual,S,,,,,,2013-09-27,
2c1c6c6b-f12e-4856-83a2-e04a9094e609,Individual,I,M,Miroslav Kessler,022 410 68 42,1989-02-12,"Furrerstrasse 5
7514 Herisau",2011-02-06,
a1214750-deb8-4a81-8369-dd96b62cf37a,Individual,I,M,Maxime Erni,+41 52 962 45 58,1998-02-27,"Studerstrasse 1
9128 Baar",2014-05-16,
bfb4ca41-e701-406c-88d4-9056fa35757d,Individual,I,F,Elda Isler,091 509 67 99,1985-09-18,"Müllerstrasse 317
3523 Gossau",2010-05-02,
0603e833-6380-4216-aeb4-c9944c46c7e3,Individual,I,F,Joëlle Fischer,031 518 47 63,1999-12-09,"Schmidtstrasse 689
9480 Arth",2012-01-21,
bb1636e2-7aa0-421e-9e38-a4fb2cb45657,Individual,I,M,Enver Wenger,061 645 76 13,1956-09-01,"Schmidtstrasse 73
1889 Kreuzlingen",2012-11-25,
53e203a4-2b68-4a11-896a-4b3abfffb48f,Individual,I,M,Harald Baumgartner,+41 55 745 15 20,1980-07-28,"Fankhauserstrasse 29
2757 Montreux",2021-05-30,
08806ee7-2589-473e-98ea-8310d20d5e26,Individual,I,M,Simeon Walter,+41 91 461 38 15,1958-06-26,"Scherrerstrasse 38
8282 Affoltern",2022-10-08,
f989c04f-566d-42fa-925b-86c398f560a3,Individual,I,M,Ennio Schnyder,+41 52 786 99 11,1959-04-10,"Wyssstrasse 40
1075 Urdorf",2018-11-13,
34225861-1aaf-4a69-851c-6078e56fecb2,Letting of own or leased land,B,M,Eichenberger Sidler & Cie.,+41 31 939 29 36,1964-11-23,"Schärstrasse 8
4829 Regensdorf",2013-05-29,
8931f138-3667-4400-8c62-c3736c41f4e3,Individual,I,M,Laurin Hauser,+41 32 533 12 02,1984-11-13,"Favrestrasse 5
5474 Dietikon",2010-03-17,
9a099832-9c8a-4af3-8986-b64fe398685c,Individual,I,F,Josette Schaub,022 710 70 98,1977-05-27,"Pfisterstrasse 32
4783 Plan-les-Ouates",2012-10-06,
d408320f-d79d-491b-bf25-ab6af599fe92,Individual,I,F,Vivian Wenger,+41 31 681 63 23,1967-08-16,"Albrechtstrasse 50
1088 Wetzikon",2018-12-27,
07921824-edce-4d18-9c8d-2731e9302a47,Individual,I,F,Murielle Braun,+41 31 950 28 11,1999-09-22,"Kesslerstrasse 619
3109 Payerne",2016-03-25,
42cada4a-4dad-4cf7-b478-c984224f6c02,Individual,I,M,Chris Gross,+41 22 316 96 56,1979-04-15,"Wirzstrasse 27
8518 Montreux",2011-03-29,
c477e51b-cb5b-4d49-8f8b-beafeff10774,Individual,I,M,Mirko Ackermann,062 826 07 64,1958-01-18,"Fankhauserstrasse 238
1722 Küssnacht",2012-02-05,
527235c4-d48c-48d8-81ab-ea0a772a6463,Individual,I,F,Mercedes Frey,+41 32 745 66 88,1997-02-25,"Eugsterstrasse 7
2180 Maur",2022-07-19,
c5f8bb7d-b351-466b-a335-785c63461a6d,Individual,I,F,Christine Michaud,+33 (0)2 36 14 76 97,1995-05-04,"5, chemin de Thierry
92146 MunozVille",2014-02-06,
3958a795-efda-49bc-bfe8-9951d8ae56e0,Individual,I,F,Alicia Portmann,+41 22 427 92 12,1958-08-29,"Hartmannstrasse 5
8074 Gossau",2020-10-21,
9229ac35-98b2-457e-ad44-2e5ed10e120b,Individual,I,M,Leonhard Kägi,052 454 71 92,1957-07-15,"Hofstetterstrasse 2
1805 Oberwil",2020-03-21,
4dd42155-d70c-49c5-9f26-1243fa0a3b25,Individual,I,F,Lya Wettstein,081 522 04 85,1985-04-16,"Gfellerstrasse 62
6638 Ebikon",2017-10-09,
16c58282-bf3b-45a0-a888-ea352de4bc16,Individual,S,,,,,,2022-12-13,
a3291f0b-4c30-4de0-aba1-c15d5f755ecb,Individual,I,F,Emmanuelle Studer,+41 56 805 43 97,1982-12-22,"Benzstrasse 84
1812 Aigle",2016-08-20,
1a47f54b-aa68-4191-a0c3-b427d4dc5eec,Individual,I,M,Morris Bianchi,044 437 36 80,1993-04-02,"Betschartstrasse 6
4595 Birsfelden",2015-04-20,
e2d62dfb-2e35-4e3b-b114-51bf968b5359,Individual,I,M,Hermann Egger,031 878 13 21,1989-05-22,"Wüthrichstrasse 2
4526 Val-de-Ruz",2017-07-12,
8c6279c6-17a0-4c8f-9832-e49a4561f2ae,Individual,I,,Morena Stucki,+41 91 052 55 39,1989-12-23,"Burristrasse 97
1229 Plan-les-Ouates",2020-02-09,
51cd112e-8244-4501-ac0c-d94fc5bade06,Individual,I,F,Margherita Wyss,043 172 72 35,1964-04-03,"Lüthistrasse 661
6234 Baar",2013-01-08,
65233152-954c-49f1-a35d-8f23b9d0a709,Individual,I,M,Yves Weber,+41 34 433 55 08,1957-04-07,"Stalderstrasse 3
9521 Ebikon",2014-05-19,
3947fa97-1b4a-49a1-8580-c9530b98d5df,Individual,I,M,Sami Ott,061 790 28 19,1962-10-25,"Lüscherstrasse 21
4695 Crans-Montana",2018-08-27,
eb741f5c-e762-4a82-a927-37fc7c9f7608,Individual,I,M,Alen Ackermann,061 412 56 77,2001-05-23,"Kochstrasse 78
4520 Locarno",2020-10-20,
e60809c4-d6bf-4dd7-a2ca-a1b276d5f8bd,Individual,I,M,Karsten Beck,041 019 92 74,1995-11-18,"Grobstrasse 244
3198 Genf",2014-09-11,
77792862-2a02-4b45-beca-436ff27db815,Individual,I,F,Sabina Hunziker,+41 43 755 92 23,1962-10-20,"Jäggistrasse 230
1190 Val-de-Ruz",2021-05-12,
02fd7386-0f2f-4842-b7a5-ef416de0e48a,Individual,I,M,Aurelio Schürch,+41 41 066 19 55,1985-01-21,"Gerberstrasse 6
2669 Winterthur",2016-02-22,
bec90c29-1004-43e1-b9b6-ee6f7589e035,Individual,S,,,,,,2023-04-04,
09b5761e-38da-4d65-b0c0-6563129efa35,Individual,I,F,Manon Egger,071 201 50 39,1953-06-15,"Ottstrasse 95
1502 Rapperswil-Jona",2016-06-03,
c9d7f00b-2e81-472d-b18a-d33dcf71454e,Individual,I,F,Giuseppa Häfliger,+41 43 431 68 30,1972-10-04,"Baderstrasse 17
6725 Sursee",2014-08-26,
45f92599-3a12-4dfc-836d-21a0086ab082,Individual,I,M,Gerold Marti,081 063 01 13,1957-11-24,"Brunstrasse 3
4046 Rheinfelden",2017-04-25,
d5a9c213-d360-4606-9c1a-23a66b174f1e,Individual,I,M,Mergim Spörri,+41 56 698 05 65,1965-05-25,"Fischerstrasse 12
1486 Riehen",2018-01-06,
45239805-c126-4418-a844-f9ff4dc725d9,Individual,I,F,Giuseppa Suter,+41 41 684 52 78,1981-05-18,"Wegmannstrasse 53
4576 Männedorf",2010-10-06,
38d63777-8da6-4ea5-81f8-8932d3bc5044,Individual,I,F,Antonina Schäfer,+41 62 839 85 76,2000-08-29,"Portmannstrasse 5
4967 Vevey",2012-07-29,
86e0b162-2f83-4ba0-89a0-482f503037ad,Computer consultancy activities,B,M,Giger Wegmann GmbH,+41 44 024 40 94,1988-09-15,"Eggerstrasse 86
3943 Brugg",2022-06-03,
6f4d9dae-5b5c-4171-b453-1e8e8ac33638,Individual,I,M,Dieter Schaub,+41 91 642 03 70,1958-05-04,"Gutstrasse 46
3009 Sarnen",2014-11-19,
27309d5b-f98c-4a33-a352-c0a58e332322,Individual,I,M,Vincenzo Lanz,021 885 46 20,1965-04-17,"Siegriststrasse 32
3153 Adliswil",2018-11-01,
